model,method,idx,pointing_hit,energy_inside
resnet18,gradcam++,107,0.0,0.19029222428798676
resnet18,gradcam++,108,0.0,0.18772636353969574
resnet18,gradcam++,109,0.0,0.19839896261692047
resnet18,gradcam++,110,0.0,0.36107033491134644
resnet18,gradcam++,111,1.0,0.2973019480705261
resnet18,gradcam++,112,1.0,0.3736798167228699
resnet18,gradcam++,113,0.0,0.38612276315689087
resnet18,gradcam++,114,0.0,0.451814740896225
resnet18,gradcam++,115,0.0,0.2960204780101776
resnet18,gradcam++,116,1.0,0.32017743587493896
resnet18,gradcam++,117,1.0,0.4543556869029999
resnet18,gradcam++,118,0.0,0.42713865637779236
resnet18,gradcam++,119,0.0,0.3953511416912079
resnet18,gradcam++,120,0.0,0.1506529152393341
resnet18,gradcam++,121,0.0,0.13488450646400452
resnet18,gradcam++,122,1.0,0.16446344554424286
resnet18,gradcam++,123,0.0,0.31647711992263794
resnet18,gradcam++,124,0.0,0.4350644052028656
resnet18,gradcam++,125,1.0,0.4277789890766144
resnet18,gradcam++,126,1.0,0.3925819993019104
resnet18,gradcam++,127,0.0,0.3328959345817566
resnet18,gradcam++,128,0.0,0.2926395535469055
resnet18,gradcam++,129,1.0,0.29169562458992004
resnet18,gradcam++,130,1.0,0.26872554421424866
resnet18,gradcam++,131,0.0,0.18004994094371796
resnet18,gradcam++,132,0.0,0.302313894033432
resnet18,gradcam++,133,0.0,0.25821372866630554
resnet18,gradcam++,134,0.0,0.3279816806316376
resnet18,gradcam++,135,1.0,0.21797075867652893
resnet18,gradcam++,136,1.0,0.2405710220336914
resnet18,gradcam++,137,1.0,0.24306443333625793
resnet18,gradcam++,138,0.0,0.33520740270614624
resnet18,gradcam++,139,0.0,0.38119494915008545
resnet18,gradcam++,140,1.0,0.34756773710250854
resnet18,gradcam++,141,0.0,0.3225468099117279
resnet18,gradcam++,142,0.0,0.3106529414653778
resnet18,gradcam++,143,1.0,0.3415694236755371
resnet18,gradcam++,144,1.0,0.3539612889289856
resnet18,gradcam++,145,1.0,0.4042642414569855
resnet18,gradcam++,146,1.0,0.335116982460022
resnet18,gradcam++,147,1.0,0.3242742717266083
resnet18,gradcam++,148,1.0,0.2696341276168823
resnet18,gradcam++,149,1.0,0.3335550129413605
resnet18,eigencam,0,1.0,0.30223599076271057
resnet18,eigencam,1,0.0,0.1276373416185379
resnet18,eigencam,2,0.0,0.013499544933438301
resnet18,eigencam,3,1.0,0.38123026490211487
resnet18,eigencam,4,1.0,0.3998763859272003
resnet18,eigencam,5,0.0,0.21755635738372803
resnet18,eigencam,6,1.0,0.3441770672798157
resnet18,eigencam,7,1.0,0.31618937849998474
resnet18,eigencam,8,1.0,0.3617384433746338
resnet18,eigencam,9,0.0,0.3391420841217041
resnet18,eigencam,10,1.0,0.34053540229797363
resnet18,eigencam,11,0.0,0.41120097041130066
resnet18,eigencam,12,0.0,0.2618618607521057
resnet18,eigencam,13,1.0,0.2602367103099823
resnet18,eigencam,14,1.0,0.3860163688659668
resnet18,eigencam,15,0.0,0.31329676508903503
resnet18,eigencam,16,0.0,0.33615195751190186
resnet18,eigencam,17,0.0,0.23908841609954834
resnet18,eigencam,18,1.0,0.3258579671382904
resnet18,eigencam,19,1.0,0.2905104458332062
resnet18,eigencam,20,0.0,0.32946956157684326
resnet18,eigencam,21,0.0,0.17016813158988953
resnet18,eigencam,22,0.0,0.2538699209690094
resnet18,eigencam,23,0.0,0.11961206793785095
resnet18,eigencam,24,0.0,0.0
resnet18,eigencam,25,0.0,0.1673423945903778
resnet18,eigencam,26,0.0,0.1536715030670166
resnet18,eigencam,27,1.0,0.37911027669906616
resnet18,eigencam,28,0.0,0.07447567582130432
resnet18,eigencam,29,0.0,0.07278691232204437
resnet18,eigencam,30,0.0,0.3061254918575287
resnet18,eigencam,31,0.0,0.23516598343849182
resnet18,eigencam,32,1.0,0.23475028574466705
resnet18,eigencam,33,1.0,0.24524863064289093
resnet18,eigencam,34,1.0,0.2434970587491989
resnet18,eigencam,35,1.0,0.2721060514450073
resnet18,eigencam,36,0.0,0.4872863292694092
resnet18,eigencam,37,0.0,0.2833244204521179
resnet18,eigencam,38,0.0,0.4957992434501648
resnet18,eigencam,39,1.0,0.3514113426208496
resnet18,eigencam,40,1.0,0.4090808033943176
resnet18,eigencam,41,0.0,0.06508364528417587
resnet18,eigencam,42,1.0,0.4476644992828369
resnet18,eigencam,43,1.0,0.422687828540802
resnet18,eigencam,44,0.0,0.34271419048309326
resnet18,eigencam,45,1.0,0.29616013169288635
resnet18,eigencam,46,1.0,0.3783568739891052
resnet18,eigencam,47,0.0,0.37181809544563293
resnet18,eigencam,48,0.0,0.40596818923950195
resnet18,eigencam,49,0.0,0.41192638874053955
