model,threshold,test_acc,precision,recall,f1,test_acc_at_0.50,f1_at_0.50
resnet18,0.6699999999999999,0.9197258932941752,0.7843137254901961,0.6472491909385113,0.7092198581560284,0.9065100342633382,0.691437802907916
mobilenetv3,0.72,0.920704845814978,0.8266666666666667,0.6019417475728155,0.6966292134831461,0.9045521292217328,0.6798029556650246
vit_tiny,0.57,0.9055310817425355,0.75,0.5631067961165048,0.6432532347504621,0.8962310327949095,0.6332179930795848
